Sample_name,image_url,image_url2,image_url3,latitude,longitude,elevation_approx,notes,Traverse,rock_type,rock_description,original_dms,original_elevation,nm_notes
FZ-3,https://uofi.box.com/s/mbyxhox09yxmb1o951icrtrjuu9hejlu,,,-50.96822222,-73.18897222,538,,Feeder Zone,Gabbro,Layered Gabbro,"50°58'05.6""S  73°11'20.3""W",538,
FZ-4,https://uofi.box.com/s/ku23xvcbgisjsq7ryhzzt2z2gihjxttt,,,-50.96786111,-73.18875,null,,Feeder Zone,Gabbro,Gabbro Pods With Felsic Rinds,"50°58'04.3""S  73°11'19.5""W",?,
FZ-5,https://uofi.box.com/s/22a2wam34i8x6ifmeg41cd7byhtgccmk,https://uofi.box.com/s/xa28y4du15hge47jl71vfjhw031rqqdc,,-50.96761111,-73.18630556,null,,Feeder Zone,Gabbro,Euhedral Crystals in Vapor Pocket,"50°58'03.4""S  73°11'10.7""W*",?,
FZ-6,https://uofi.box.com/s/ombjzxt9c21xgzl8981mou3g4dwvr1yt,,,-50.96761111,-73.18630556,538,,Feeder Zone,Diorite,Mix Zone Diorite,"""","""",
FZ-7,https://uofi.box.com/s/gtzz0l9fb6whfl49rppknxly2xms1vai,,,-50.96763889,-73.18738889,614,,Feeder Zone,Diorite,Homogenous Diorite,"50°58'03.5""S  73°11'14.6""W",614,
FZ-8,https://uofi.box.com/s/8cpx1k3g1qotrcl5czhkxbv8onvp3z0s,,,-50.96763889,-73.18738889,614,,Feeder Zone,Diorite,Mix Zone Diorite,"""","""",
FZ-9,https://uofi.box.com/s/9pfnujdgpxh1ghi7jevooo89mikl1dk3,https://uofi.box.com/s/spttp5ye416hir0gbn69p7l01v0zruhy,,-50.96763889,-73.18738889,614,,Feeder Zone,Felsic Dike,Felsic Dike,"""","""",
FZ-10,https://uofi.box.com/s/bns1196gbkihiqi9v6a1zmdcz7d5x9am,,,-50.96763889,-73.18738889,614,,Feeder Zone,Felsic Dike,Felsic Dike,"""","""",
FZ-11,https://uofi.box.com/s/qtqqffiqykeo3wdzcj16jhfyckptlix5,https://uofi.box.com/s/zjhcnv8k886vxb3jahp5obeg9b0yu919,,-50.96819444,-73.18661111,587,,Feeder Zone,Diorite,Mix Zone Diorite,"50°58'05.5""S  73°11'11.8""W",587,
GT-Xtry,https://uofi.box.com/s/ev03rxh97lp5uns8ujqzi456wx737j2w,https://uofi.box.com/s/ha12ap301v3uw0cct0ujqeohf3sxhusf,,-50.9565,-72.94994444,1406,,Mirador Granite Transect,Country Rock,Homogenous Granite,"50°57'23.4""S  72°56'59.8""W",1406,
GT-0,https://uofi.box.com/s/3wfcwwene6cegth22z5ozlryoyms7hta,,,-50.9565,-72.94994444,1406,,Mirador Granite Transect,Granite,Homogenous Granite,"""","""",
GT-1,https://uofi.box.com/s/gfna7v9rrxh0t88pfvu3gntx8npzil0p,,,-50.9565,-72.94994444,1406,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'23.4""S  72°56'59.8""W",1406,
GT-2,https://uofi.box.com/s/bgh3253rik1yykz00vtaeqjdz9gdkh4g,,,-50.95666667,-72.95086111,1413,,Mirador Granite Transect,Granite,Homogenous Granite,"50°57'24.0""S  72°57'03.1""W",1413,
