Sample_name,image_url,image_url2,image_url3,latitude,longitude,elevation_approx,notes,Traverse,rock_type,rock_description,original_dms,original_elevation,nm_notes
C-5,https://uofi.box.com/s/emyoozyucfpv0ppmioiktbkqvp7cmjis,,,-50.97722222,-73.10147222,1257,contact ,Castillo Mega Transect,Layered Diorite Upper Hornblende Gabbro,Contact Between The Two Units,"50°58'38.0""S  73°06'05.3""W",1257,
C-6,https://uofi.box.com/s/28isqitn2cd01ve8bc5p4fwqcs28ii0q,,,-50.97722222,-73.10147222,1256.95,5 cm below contact,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-7,https://uofi.box.com/s/0ja0t1zqe2qp3m6maxc1evf3stddn9u2,,,-50.97722222,-73.10147222,1256.7,.3m below contact,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-8,https://uofi.box.com/s/zhkkdbfet2e4t8al4zv476srg9iersxa,,,-50.97722222,-73.10147222,1254.5,1.5m below contact,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-9,https://uofi.box.com/s/hta8xg65f49w15t979scssajqwt2yjmk,,,-50.97722222,-73.10147222,1252,5m above C-10,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-10,https://uofi.box.com/s/6fwn5dhtr9jm563a8oadm4hb63dh7z34,,,-50.97747222,-73.10063889,1247,,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"50°58'38.9""S  73°06'02.3""W",1247,
C-11,https://uofi.box.com/s/ympdbsvkuvtqiz6bvtyvrz5ztffy2515,,,-50.97747222,-73.10063889,1247,,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-12,https://uofi.box.com/s/58yj9vfdjpxzxxrkahuf583ydlom4hyt,,,-50.97763889,-73.10013889,1250,,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"50°58'39.5""S  73°06'00.5""W",1250,
C-13,https://uofi.box.com/s/pyxmfvrku3nopqqcfujjfrx969g1avnf,,,-50.97763889,-73.10013889,1250,Between C-11 and C-13,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-14,https://uofi.box.com/s/gb9s6tq6ist4d9eezwgxylitfm2kwu2m,,,-50.97758333,-73.09977778,1239,,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"50°58'39.3""S  73°05'59.2""W",1239,
C-15,https://uofi.box.com/s/ah73g0xa2481t8a3sxftq34k6v4huz7a,,,-50.97744444,-73.09977778,1213,,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"50°58'38.8""S  73°05'59.2""W",1213,
C-16,https://uofi.box.com/s/er8cu1h1uawi1vvuumj2ryn648whrgcf,,,-50.97744444,-73.09977778,1210,3m below C15,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-17,https://uofi.box.com/s/srgejz8u9x8kpha2gvptcb9eb8788ac9,,,-50.97744444,-73.09958333,1196,,Castillo Mega Transect,Diorite,Homogenous Diorite,"50°58'38.8""S  73°05'58.5""W",1196,
C-18,https://uofi.box.com/s/gwci8lnvteo5ogjquwfsh3vwjvjie211,,,-50.97744444,-73.09958333,1196,Next to C17,Castillo Mega Transect,Gabbro,Homogenous Gabbro,"""","""",
C-19,https://uofi.box.com/s/2stk5r2x8t0ibcdiptirpxi7dl0mt81r,,,-50.97744444,-73.09958333,1191,5m below C18,Castillo Mega Transect,Gabbro,Homogenous Gabbro,"""","""",
C-20,https://uofi.box.com/s/ihcuhbxgbrdoxie1w0pad2gdiamlceo0,,,-50.97675,-73.09938889,1190,,Castillo Mega Transect,Diorite/Gabbro,Mix Zone Diorite/Gabbro,"50°58'36.3""S  73°05'57.8""W",1190,
C-21,https://uofi.box.com/s/5sr2ll2txqo64pah9pz7kn8ehkm6ch4p,,,-50.97675,-73.09938889,1190,,Castillo Mega Transect,Gabbro,Homogenous Gabbro,"""","""",
C-22,https://uofi.box.com/s/jb706aha9bmwiutxhtz1a86v6c8a216o,,,-50.97675,-73.09938889,1190,,Castillo Mega Transect,Diorite/Gabbro,Mix Zone Diorite/Gabbro Finer Grained,"""","""",
C-23,https://uofi.box.com/s/zumqcbioc26y8z63xsn2x6n5hxe5wceh,,,-50.97675,-73.09938889,1190,,Castillo Mega Transect,Diorite/Gabbro,Mix Zone Diorite/Gabbro,"""","""",
C-24,https://uofi.box.com/s/dn1iz87kb809ml5r7wc6zc7yp8xqm7d4,,,-50.97738889,-73.09861111,1153,,Castillo Mega Transect,Diorite,Homogenous Diorite,"50°58'38.6""S  73°05'55.0""W",1153,
C-25,https://uofi.box.com/s/dsogmb1n5asobaehiwyoyy2ym52ewysw,,,-50.97738889,-73.09861111,1150,3m below C24,Castillo Mega Transect,Diorite,Outcrop Has Rusty Appearance,"""","""",
C-27,https://uofi.box.com/s/m1v52v7zv71btmehks37w3q88eqvzubl,,,-50.97758333,-73.09816667,1128,,Castillo Mega Transect,Diorite,Diorite With Large Hornblende Crystals,"50°58'39.3""S  73°05'53.4""W",1128,
C-28,https://uofi.box.com/s/qiihfvd788qnzinwrk6ikip3jxh9y8wf,,,-50.97758333,-73.09816667,1128,,Castillo Mega Transect,Diorite,Mix Zone Diorite,"""","""",
C-29,https://uofi.box.com/s/ckf1tvfrzon6rmbia4mmdrgc8e1utydk,,,-50.97791667,-73.09788889,1107,Going laterally,Castillo Mega Transect,Diorite,Homogenous Diorite,"50°58'40.5""S  73°05'52.4""W",1107,
C-30,https://uofi.box.com/s/7273gnozup282zpvfz9wn4miokvahowr,,,-50.97791667,-73.09788889,1107,,Castillo Mega Transect,Diorite,Mix Zone Veining Diorite,"""","""",
C-31,https://uofi.box.com/s/cbxmcnoyrv9kc2r2hrvodz9dtsojzt24,,,-50.97838889,-73.09863889,1138,,Castillo Mega Transect,Diorite,Mix Zone Veining Diorite,"50°58'42.2""S  73°05'55.1""W",1138,
C-32,https://uofi.box.com/s/cwa3e2k1fms1f8m1zgbbyw01dfb0ymaj,,,-50.97838889,-73.09863889,1138,,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"""","""",
C-33,https://uofi.box.com/s/xk81b028ocwmm1vbz11djysvv9ipzi3r,,,-50.97791667,-73.09772222,1111,,Castillo Mega Transect,Lower Hornblende Gabbro,Mix Zone Gabbro,"50°58'40.5""S  73°05'51.8""W",1111,
C-34,https://uofi.box.com/s/ukcdv08lvcvchc8mk5b71gwdr0fgddtf,,,-50.97791667,-73.09772222,1110,1m below C33,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"""","""",
C-35,https://uofi.box.com/s/dpkgifdcpdlpmai3a7fgsjlojr2a6s2t,,,-50.97791667,-73.09772222,1109,1m below C34,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"""","""",
C-36,https://uofi.box.com/s/5j2bxkceltq4unuggd8ee33n5jsk4xw5,https://uofi.box.com/s/5sgw82wcdn8fq0mhjx1v0iy45sm9nttm,,-50.97791667,-73.09772222,1108.7,Contact-0.3cm below 35,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"""","""",
C-37,https://uofi.box.com/s/ekfmmzdy048zcfstmu2a70g8g5dau5ow,https://uofi.box.com/s/yxdnabo7b6dsbs5goxb9jnaph7lwa5ae,,-50.97791667,-73.09772222,1108.7,Directly next to 36,Castillo Mega Transect,Lower Hornblende Gabbro,Mix Zone Gabbro,"""","""",
C-38,https://uofi.box.com/s/ulp2ix35lard49gpeylcdezdvvudj3w6,,,-50.97791667,-73.09772222,1107.7,1m below C37,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"""","""",
C-39,https://uofi.box.com/s/vju0bhyapenp02ks2ecj0ggv1a99lki6,,,-50.97791667,-73.09772222,1106.7,1m below C38,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"""","""",
C-40,https://uofi.box.com/s/vdij59cvh6r1z0jomt9qfesfgncr0iz2,,,-50.97791667,-73.09772222,1105.7,1m below 39,Castillo Mega Transect,Lower Hornblende Gabbro,Mix Zone Gabbro,"""","""",
C-41,https://uofi.box.com/s/y1tsrw3ilunlogun4s0k6qvqjr70hrwk,,,-50.97805556,-73.09725,1102,3m above felsic pod,Castillo Mega Transect,Lower Hornblende Gabbro,Homogenous Gabbro,"50°58'41.0""S  73°05'50.1""W",1102,
C-42,https://uofi.box.com/s/aza6smc4zo5auljc9qdqj6s1hugjcb4g,,,-50.97805556,-73.09725,1100,1m above felsic pod,Castillo Mega Transect,Lower Hornblende Gabbro,Mix Zone Gabbro,"""","""",
C-43,https://uofi.box.com/s/a2sjdiw88zyd5wud3zby6apswtv9likz,,,-50.97805556,-73.09725,1099,Contact,Castillo Mega Transect,Gabboro/Granite,Contact,"""","""",
C-44,https://uofi.box.com/s/5n9bjclmnomnwobp8coy4lv2epjh02uf,,,-50.97808333,-73.09730556,1085,1m below contact,Castillo Mega Transect,Granite,Granite Pod,"50°58'41.1""S  73°05'50.3""W",1085,
C-45,https://uofi.box.com/s/aw0ndejvdh5e8f21wiwuaxrtm6erns49,,,-50.97963889,-73.0985,1072,,Castillo Mega Transect,Diorite,Homogenous Diorite,"50°58'46.7""S  73°05'54.6""W",1072,
C-47,https://uofi.box.com/s/81hsrusf5whvwyrk8ilrgp0oxk65gsd4,,,-50.97963889,-73.0985,1072,,Castillo Mega Transect,Diorite,Diorite With Felsic Veins,"""","""",
C-48,https://uofi.box.com/s/cqpdyedu2hsa9k7krk73h4g988esmn1i,,,-50.97963889,-73.0985,1072,,Castillo Mega Transect,Diorite,Mix Zone Diorite,"""","""",
C-49,https://uofi.box.com/s/4ahtiah4tw3dnv9t5elq00amha19aeff,,,-50.97963889,-73.0985,1072,,Castillo Mega Transect,Diorite,Homogenous Diorite,"""","""",
C-50,https://uofi.box.com/s/o8pad3oox8pspy1o82v6v43gtnr8xuzg,,,-50.97980556,-73.09880556,1063,,Castillo Mega Transect,Diorite,Homogenous Diorite,"50°58'47.3""S  73°05'55.7""W",1063,
Cig-1,https://uofi.box.com/s/0b6zyf2t7w6z4q603zvizs9qizuo90x7,,,-50.97758333,-73.09672222,1093,,Castillo Felsic Pod Transect,Granite,Homogenous Granite,"50°58'39.3""S  73°05'48.2""W",1093,
Cig-2,https://uofi.box.com/s/h91jov4ed85lmi6otkdcjt3052kasngh,,,-50.97758333,-73.09672222,,,Castillo Felsic Pod Transect,Granite,Homogenous Granite,"""",,
Cig-3,https://uofi.box.com/s/3nbv40d8gmkfia9xg1p2e6yezl92a1t3,,,-50.97758333,-73.09672222,,,Castillo Felsic Pod Transect,Granite,Homogenous Granite,"""",,
Cig-4,https://uofi.box.com/s/ut82cvdm0oyoax12a6dbqhrwvtrfuf26,,,-50.97758333,-73.09672222,,,Castillo Felsic Pod Transect,Granite/Gabbro,Contact Sample,"""",,
Cig-5,https://uofi.box.com/s/m4lyasbw1nzcs33csaque5g0aj68barn,https://uofi.box.com/s/nl6j7jr5zgtwg0t5sh0u01sqira5hd7y,,-50.97758333,-73.09680556,1079,,Castillo Felsic Pod Transect,Gabbro,Mix Zone Gabbro,"50°58'39.3""S  73°05'48.5""W",1079,
CS-1,https://uofi.box.com/s/djed8p8rnabepjf485pg1mt9y2odatyx,,,-51.0145,-72.97569444,170,,Cuernos Cone Sheet ,Country Rock,Mudstone,"51°00'52.2""S  72°58'32.5""W",170,"original elevation reads 170, suspect typo"
CS-2,https://uofi.box.com/s/ccuevk0kua6bjrhfsfbmzs1r0nmhthy8,,,-51.0145,-72.97569444,170,,Cuernos Cone Sheet ,Country Rock,Mudstone,"""","""","original elevation reads 170, suspect typo"
CS-3,https://uofi.box.com/s/73qs70wrehevj349mz41g1hz5flbqbkq,,,-51.0145,-72.97569444,170,,Cuernos Cone Sheet ,Country Rock/ Cone Sheet,Contact,"""","""","original elevation reads 170, suspect typo"
CS-4,https://uofi.box.com/s/h4bbboleidk8c8t5y6hqi6yq18dhiwtx,,,-51.0145,-72.97569444,170,,Cuernos Cone Sheet ,Cone Sheet,"Prophyritc Granite, Spherical Quartz (Middle)","""","""","original elevation reads 170, suspect typo"
CS-5,https://uofi.box.com/s/smjwpp8ee3j0qzkplifmt6eqj3a2ea5g,,,-51.0145,-72.97569444,170,,Cuernos Cone Sheet ,Cone Sheet,"Prophyritc Granite, Spherical Quartz Top)","""","""","original elevation reads 170, suspect typo"
CS-6,https://uofi.box.com/s/6cqqrqposzsefp7y2591f6fmnuxzb90y,,,-51.0145,-72.97569444,170,,Cuernos Cone Sheet ,Country Rock,Mudstone,"""","""","original elevation reads 170, suspect typo"
CS p1/p2,https://uofi.box.com/s/4lk99hceqciw2voiwsu4pg7ma3jlzd8y,https://uofi.box.com/s/xne10g93wv9ab8acxknzzxgheiy54ekv,,-50.94555556,-72.94002778,803,,Torres Valley Cone Sheet,Cone Sheet,"Prophyritc Granite, Weathered In Forest","50°56'44.0""S  72°56'24.1""W",803,
CS-MD,https://uofi.box.com/s/lx3cn0f63f8265w1cm3teku83dkad01t,,,-50.94555556,-72.94002778,,,Torres Valley Cone Sheet,Cone Sheet,"Prophyritc Granite, Weathered In Forest",?,,
CD-0,https://uofi.box.com/s/ip9szzb2ix0834hvkufznris6v59l329,,,-50.93533333,-72.99469444,1130,,Valle Silencio Composite Dike,Country Rock/Basalt,Metamudstone/Upper Basaltic Contact,"50°56'07.2""S  72°59'40.9""W",1130,
CD-1,https://uofi.box.com/s/gs8v0c3j5xyrik0lh3zpyrbe6kx2g2fb,https://uofi.box.com/s/lk25bnscf03jme8cr0cz0t6p9lp3zyql,https://uofi.box.com/s/q9a8sh9kl6g562ccksvgxlsq06e11y9m,-50.93533333,-72.99458333,1130,,Valle Silencio Composite Dike,Basalt/Granite,Upper Basaltic/Felsite Contact,"50°56'07.2""S  72°59'40.5""W","""",
CD-2,https://uofi.box.com/s/q9a8sh9kl6g562ccksvgxlsq06e11y9m,,,-50.93516667,-72.99458333,1130,,Valle Silencio Composite Dike,Granite,Top Of Felsic Component,"50°56'06.6""S  72°59'40.5""W","""",
CD-3,https://uofi.box.com/s/c3i4gipuh0h0pqaxg18x7ytsa7yayapx,,,-50.93508333,-72.99466667,1130,,Valle Silencio Composite Dike,Granite,Bottom of Felsic Component,"50°56'06.3""S  72°59'40.8""W","""",
